cntr,coadd_id,decl,ra,source_id,w1mpro,w2mpro,w3mpro,w4mpro
15100001351018421,0015p000_ac51,-0.25596190,1.58043120,0015p000_ac51-018421,16.52700000,16.45300000,11.77700000,7.58500000
15100001351031466,0015p000_ac51,-0.15402590,1.53807910,0015p000_ac51-031466,16.12100000,15.49600000,11.59300000,8.70400000
15100001351018790,0015p000_ac51,-0.21949010,1.55486270,0015p000_ac51-018790,18.00600000,16.01000000,11.75100000,4.09900000
15100001351018431,0015p000_ac51,-0.19261460,1.57530380,0015p000_ac51-018431,16.87300000,15.78400000,12.13000000,8.53900000
15100001351032754,0015p000_ac51,-0.02409060,1.52902780,0015p000_ac51-032754,17.54200000,16.60900000,12.34300000,8.93100000
15100001351032225,0015p000_ac51,-0.09460630,1.55693700,0015p000_ac51-032225,17.25700000,17.22500000,12.55600000,8.51300000
15100001351031772,0015p000_ac51,-0.04705220,1.50258090,0015p000_ac51-031772,16.58500000,16.13600000,12.47800000,8.78700000
15100001351020338,0015p000_ac51,-0.25241950,1.57732810,0015p000_ac51-020338,17.27500000,16.82700000,11.66600000,8.51600000
15100001351033182,0015p000_ac51,-0.07260070,1.52422220,0015p000_ac51-033182,17.50200000,17.13800000,12.59700000,8.70200000
15100001351031771,0015p000_ac51,-0.00719110,1.54629190,0015p000_ac51-031771,16.71600000,16.87600000,12.41800000,8.46700000
15100001351031739,0015p000_ac51,-0.14417510,1.56528770,0015p000_ac51-031739,16.85400000,16.19800000,12.36300000,8.61700000
15100001351031577,0015p000_ac51,-0.01241830,1.55221720,0015p000_ac51-031577,16.44500000,16.17300000,11.86100000,8.68700000
15100001351017795,0015p000_ac51,-0.23786940,1.58521840,0015p000_ac51-017795,17.96400000,16.98100000,11.59100000,3.88300000
15100001351031295,0015p000_ac51,-0.00682220,1.53894570,0015p000_ac51-031295,15.10400000,14.88700000,12.51900000,8.48800000
15100001351018581,0015p000_ac51,-0.22754130,1.57429070,0015p000_ac51-018581,18.30600000,16.70800000,11.84300000,4.31100000
15100001351019345,0015p000_ac51,-0.23640880,1.56097280,0015p000_ac51-019345,18.12300000,16.68900000,12.12800000,4.33900000
15100001351032238,0015p000_ac51,-0.08657540,1.59029220,0015p000_ac51-032238,17.33100000,16.19100000,11.74200000,8.31000000
15100001351018616,0015p000_ac51,-0.23826840,1.56265640,0015p000_ac51-018616,17.24100000,15.65400000,11.36700000,4.80500000
15100001351020215,0015p000_ac51,-0.22338390,1.56595600,0015p000_ac51-020215,17.92200000,16.93000000,11.37100000,5.46500000
15100001351032566,0015p000_ac51,-0.12481620,1.58170250,0015p000_ac51-032566,17.46300000,16.56200000,12.39700000,8.45600000
15100001351032174,0015p000_ac51,-0.01523130,1.58102880,0015p000_ac51-032174,17.52400000,17.10400000,12.21900000,8.48000000
15100001351032288,0015p000_ac51,-0.04831730,1.51701100,0015p000_ac51-032288,17.37800000,16.58800000,12.56800000,8.59000000
15100001351031686,0015p000_ac51,-0.00821340,1.52263360,0015p000_ac51-031686,16.62400000,16.21200000,12.02400000,8.61200000
15100001351032494,0015p000_ac51,-0.14571870,1.55307080,0015p000_ac51-032494,17.41000000,17.13800000,11.99500000,8.54600000
15100001351031511,0015p000_ac51,-0.04176600,1.51597950,0015p000_ac51-031511,15.93100000,15.88600000,12.53000000,8.79300000
